[Timestamp;Sample number;dirOffsetM0T1;C0;V0[mV];W0;C1;V1[mV];W1;C2;V2[mV];W2;Direct M0 TS1;]
2023-05-12_141807;58;2428;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;7.077051e-01;-8.344651e-03;1.118629e+00;88148 88301 88456 88609 88761 88916 89068 89222 89374 89526 89678 89828 89979 90129 90278 90428 90578 90727 90875 91021 91168 91313 91460 91605 91748 91891 92036 92178 92319 92462 92603 92744 92884 93023 93163 93301 93441 93580 93718 93855 93993 94131 94266 94402 94537 94673 94806 94939 95071 95203 95334 95465 95595 95728 95857 95988 96118 96249 96380 96513 96645 96778 96911 97043 97176 97308 97440 97570 97702 97833 97962 98093 98223 98351 98479 98609 98736 98862 98989 99114 99238 99359 99481 99601 99722 99843 99960 100079 100195 100313 100429 100543 100659 100774 100888 101002 101116 101228 101339 101448 101554 101656 101754 101847 101933 102012 102082 102144 102192 102230 102251 102256 102245 102213 102157 102075 101962 101815 101632 101411 101152 100857 100536 100203 99880 99601 99399 99316 99374 99590 99954 100443 101017 101636 102264 102875 103451 103983 104469 104911 105315 105682 106020 106335 106632 106918 107192 107458 107717 107970 108211 108442 108664 108875 109077 109271 109456 109637 109812 109982 110144 110304 110458 110608 110751 110888 111022 111148 111272 111389 111505 111618 111729 111841 111952 112061 112173 112285 112400 112518 112639 112760 112882 113004 113127 113246 113365 113485 113603 113721 113836 113952 114067 114181 114296 114412 114528 114645 114764 114883 115000 115119 115235 115351 115467 115581 115696 115809 115923 116038 116157 116276 116399 116525 116653 116782 116915 117045 117173 117303 117430 117555 117681 117806 117934 118060 118190 118321 118450 118578 118706 118832 118957 119083 119206 119328 119453 119575 119699 119821 119947 120070 120195 120316 120436 120553 120669 120780 120891 121001 121109 121214 121317 121415 121510 121597 ;
2023-05-12_141817;59;2434;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;1.450387e-01;8.642674e-03;1.312201e+00;88144 88298 88450 88603 88756 88908 89062 89212 89364 89515 89665 89817 89965 90116 90265 90413 90562 90709 90856 91003 91147 91293 91438 91581 91725 91870 92011 92154 92295 92437 92579 92720 92860 93000 93140 93279 93419 93557 93696 93834 93972 94109 94248 94384 94520 94656 94791 94924 95058 95192 95324 95456 95588 95720 95852 95984 96115 96248 96381 96514 96647 96782 96916 97049 97183 97317 97449 97581 97713 97842 97974 98104 98231 98360 98490 98618 98746 98871 98996 99119 99242 99366 99485 99605 99726 99845 99962 100079 100197 100313 100428 100542 100656 100768 100881 100995 101106 101216 101324 101430 101533 101632 101725 101814 101896 101970 102037 102090 102134 102165 102184 102184 102169 102133 102075 101990 101878 101730 101547 101327 101069 100776 100458 100130 99812 99537 99343 99266 99332 99555 99927 100422 101004 101629 102263 102881 103462 103999 104489 104938 105344 105714 106056 106372 106670 106954 107228 107492 107750 107997 108236 108464 108681 108887 109085 109276 109459 109636 109809 109975 110139 110297 110452 110601 110744 110883 111017 111143 111265 111383 111498 111609 111720 111829 111938 112045 112155 112266 112379 112495 112614 112734 112853 112973 113092 113211 113328 113445 113563 113677 113791 113903 114013 114123 114232 114344 114457 114570 114682 114796 114911 115025 115140 115253 115367 115480 115597 115711 115828 115946 116067 116191 116317 116447 116582 116715 116849 116985 117116 117247 117377 117507 117636 117766 117899 118031 118166 118302 118437 118572 118706 118837 118968 119097 119223 119350 119473 119595 119716 119837 119957 120076 120193 120309 120422 120533 120645 120752 120863 120969 121077 121182 121285 121386 121479 121568 ;
2023-05-12_141827;60;2443;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;2.585867e-01;4.470349e-03;1.184518e+00;88163 88316 88470 88623 88777 88928 89082 89234 89384 89535 89688 89839 89988 90139 90287 90437 90585 90732 90882 91027 91174 91319 91463 91609 91753 91896 92040 92182 92324 92465 92608 92748 92889 93029 93169 93308 93450 93588 93727 93864 94003 94141 94278 94415 94551 94687 94821 94956 95090 95222 95355 95487 95617 95750 95881 96011 96141 96273 96404 96536 96668 96801 96933 97067 97199 97330 97461 97591 97722 97852 97981 98110 98240 98366 98493 98620 98747 98871 98994 99118 99239 99360 99481 99600 99718 99835 99952 100066 100182 100295 100408 100520 100631 100741 100852 100962 101071 101178 101286 101391 101491 101591 101685 101773 101855 101932 101999 102059 102108 102144 102168 102177 102167 102139 102086 102007 101898 101758 101581 101366 101113 100824 100510 100183 99868 99595 99402 99324 99393 99614 99986 100480 101060 101685 102318 102932 103509 104041 104529 104973 105375 105741 106079 106393 106686 106968 107240 107503 107759 108006 108243 108471 108687 108894 109090 109279 109460 109635 109806 109972 110133 110290 110442 110590 110733 110871 111004 111131 111254 111370 111486 111598 111708 111817 111924 112032 112137 112245 112355 112467 112580 112696 112811 112927 113042 113156 113271 113385 113500 113615 113726 113838 113949 114063 114177 114291 114409 114524 114641 114761 114880 114999 115117 115234 115353 115471 115589 115707 115827 115948 116073 116204 116334 116469 116604 116742 116884 117020 117157 117290 117419 117547 117677 117803 117933 118059 118189 118319 118447 118578 118704 118831 118958 119082 119209 119333 119456 119581 119705 119829 119953 120076 120198 120317 120433 120546 120657 120764 120870 120974 121077 121175 121273 121367 121453 121537 ;
2023-05-12_141837;61;2440;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;-3.634092e-02;7.450582e-03;1.542767e+00;88194 88347 88500 88652 88804 88958 89111 89264 89416 89567 89718 89869 90017 90168 90317 90466 90613 90762 90909 91056 91202 91347 91491 91635 91780 91923 92065 92207 92349 92492 92631 92771 92912 93050 93189 93328 93466 93605 93741 93879 94016 94152 94287 94423 94557 94692 94825 94958 95089 95220 95351 95484 95613 95745 95876 96004 96134 96265 96398 96530 96663 96794 96928 97060 97191 97322 97453 97585 97714 97843 97973 98101 98229 98355 98482 98607 98733 98856 98980 99101 99222 99343 99462 99582 99700 99816 99934 100049 100166 100282 100399 100514 100630 100744 100858 100972 101088 101203 101313 101423 101530 101632 101732 101824 101912 101991 102063 102123 102172 102210 102234 102242 102231 102201 102147 102067 101958 101814 101635 101417 101162 100869 100552 100221 99904 99628 99433 99352 99416 99636 100005 100496 101073 101696 102327 102939 103515 104047 104534 104976 105376 105742 106076 106389 106681 106960 107231 107493 107748 107992 108229 108457 108673 108880 109078 109270 109452 109630 109801 109967 110128 110285 110437 110581 110724 110858 110987 111109 111227 111341 111452 111560 111666 111772 111876 111982 112089 112197 112309 112423 112538 112656 112777 112898 113018 113139 113257 113374 113494 113614 113731 113848 113965 114081 114198 114314 114434 114553 114674 114796 114918 115039 115158 115279 115396 115515 115632 115748 115865 115983 116104 116226 116351 116480 116609 116740 116873 117006 117137 117266 117396 117524 117652 117784 117915 118048 118183 118319 118453 118589 118722 118852 118981 119109 119235 119359 119482 119602 119721 119838 119956 120073 120187 120301 120411 120520 120625 120731 120836 120940 121044 121147 121249 121346 121437 121528 ;
2023-05-12_141847;62;2451;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;7.355127e-01;-7.152558e-03;9.752285e-01;88189 88342 88494 88647 88800 88951 89104 89255 89406 89558 89707 89857 90006 90155 90304 90450 90598 90745 90891 91037 91182 91326 91469 91613 91757 91899 92041 92182 92323 92464 92606 92747 92885 93024 93164 93301 93440 93580 93718 93856 93994 94131 94267 94403 94539 94674 94806 94940 95073 95205 95335 95466 95597 95728 95857 95987 96118 96249 96381 96514 96645 96778 96910 97043 97175 97308 97439 97571 97702 97830 97961 98091 98220 98350 98479 98606 98735 98861 98987 99112 99236 99361 99484 99605 99727 99849 99968 100088 100206 100323 100440 100557 100672 100788 100903 101016 101130 101242 101352 101460 101565 101666 101761 101851 101937 102013 102080 102139 102186 102221 102241 102246 102233 102199 102142 102059 101946 101802 101619 101400 101142 100849 100529 100199 99880 99604 99408 99327 99391 99609 99978 100469 101045 101666 102294 102906 103482 104013 104500 104942 105343 105711 106048 106361 106657 106938 107209 107470 107725 107971 108208 108433 108647 108851 109047 109234 109414 109588 109755 109918 110078 110234 110385 110531 110673 110810 110941 111068 111190 111308 111422 111536 111648 111759 111868 111978 112089 112201 112316 112433 112553 112674 112795 112917 113040 113160 113281 113401 113518 113638 113753 113869 113984 114096 114208 114324 114437 114552 114666 114781 114896 115011 115125 115237 115351 115465 115580 115696 115813 115933 116058 116186 116318 116452 116591 116731 116869 117009 117145 117280 117413 117543 117673 117802 117932 118063 118193 118323 118451 118580 118706 118831 118954 119076 119198 119319 119439 119559 119679 119801 119922 120043 120164 120282 120401 120513 120625 120735 120843 120950 121054 121155 121254 121348 121438 121522 ;
2023-05-12_141857;63;2449;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;6.047396e-01;-3.576279e-03;1.425309e+00;88186 88339 88492 88645 88797 88950 89103 89256 89407 89557 89707 89858 90007 90157 90306 90455 90603 90751 90898 91045 91190 91335 91478 91623 91766 91911 92053 92194 92336 92478 92619 92760 92899 93039 93178 93318 93456 93597 93734 93871 94010 94148 94286 94420 94557 94692 94826 94960 95094 95227 95358 95492 95624 95756 95887 96019 96152 96285 96418 96551 96687 96820 96955 97089 97223 97357 97489 97622 97756 97888 98018 98150 98279 98410 98539 98667 98795 98922 99049 99172 99296 99419 99540 99660 99779 99899 100017 100133 100250 100365 100479 100593 100706 100818 100929 101041 101152 101263 101369 101476 101577 101676 101770 101859 101943 102019 102086 102141 102187 102221 102240 102245 102231 102197 102138 102056 101941 101794 101611 101390 101130 100836 100517 100187 99867 99592 99397 99317 99383 99604 99975 100469 101047 101670 102300 102912 103487 104018 104504 104944 105345 105708 106043 106354 106646 106925 107195 107456 107710 107957 108195 108423 108639 108848 109045 109236 109421 109599 109772 109940 110104 110263 110417 110565 110709 110849 110981 111109 111231 111351 111467 111581 111691 111803 111911 112019 112129 112240 112351 112466 112582 112699 112816 112933 113050 113166 113281 113395 113509 113621 113733 113845 113956 114068 114181 114296 114413 114530 114650 114769 114892 115013 115134 115257 115377 115498 115619 115740 115861 115986 116111 116238 116367 116500 116633 116768 116902 117033 117165 117294 117422 117549 117675 117803 117931 118060 118192 118324 118456 118587 118717 118847 118974 119103 119230 119354 119478 119601 119723 119845 119965 120082 120200 120314 120426 120536 120644 120751 120854 120960 121063 121164 121263 121360 121451 121538 ;
2023-05-12_141907;64;2465;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;8.159698e-02;-5.960465e-04;-4.028479e-01;88165 88316 88469 88624 88776 88930 89082 89234 89386 89538 89687 89838 89987 90138 90287 90436 90585 90734 90882 91028 91173 91320 91464 91608 91752 91897 92040 92182 92326 92468 92610 92752 92892 93033 93174 93314 93453 93593 93732 93871 94010 94148 94286 94423 94559 94695 94830 94964 95100 95233 95365 95499 95631 95763 95894 96027 96159 96292 96425 96560 96694 96828 96962 97095 97230 97364 97494 97625 97756 97885 98014 98142 98272 98398 98526 98651 98775 98899 99023 99147 99267 99386 99506 99625 99743 99861 99977 100092 100208 100322 100436 100548 100661 100773 100886 100996 101106 101216 101323 101425 101527 101625 101717 101803 101886 101958 102023 102078 102122 102156 102176 102181 102167 102134 102079 101996 101885 101742 101561 101343 101085 100793 100475 100145 99827 99550 99353 99272 99336 99556 99925 100417 100995 101617 102247 102860 103437 103969 104457 104902 105305 105673 106011 106327 106624 106906 107177 107442 107699 107947 108185 108413 108632 108838 109036 109227 109411 109588 109761 109927 110089 110247 110399 110547 110689 110827 110958 111084 111203 111319 111430 111539 111645 111752 111857 111961 112066 112172 112282 112393 112507 112625 112743 112863 112982 113102 113222 113341 113462 113581 113700 113818 113937 114055 114172 114290 114412 114530 114650 114770 114890 115011 115128 115245 115362 115478 115594 115711 115827 115948 116070 116197 116326 116456 116591 116727 116863 116998 117132 117267 117398 117528 117658 117788 117921 118054 118187 118321 118453 118584 118712 118840 118964 119089 119210 119331 119451 119568 119688 119807 119927 120045 120162 120278 120392 120504 120614 120723 120831 120938 121044 121150 121253 121353 121449 121541 ;
2023-05-12_141917;65;2469;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;5.834818e-01;1.221895e-02;1.088557e+00;88180 88334 88486 88640 88793 88946 89100 89253 89403 89555 89707 89857 90007 90157 90306 90456 90605 90752 90900 91047 91193 91338 91484 91629 91773 91916 92059 92202 92347 92488 92629 92772 92911 93052 93193 93333 93472 93610 93749 93889 94027 94165 94302 94439 94574 94710 94842 94978 95110 95242 95372 95505 95636 95766 95895 96026 96156 96287 96418 96550 96681 96813 96945 97077 97209 97340 97471 97602 97732 97861 97991 98120 98249 98376 98503 98631 98756 98881 99003 99125 99246 99365 99486 99603 99719 99836 99950 100063 100177 100288 100401 100512 100622 100732 100842 100952 101062 101170 101278 101384 101486 101585 101680 101769 101854 101931 101999 102059 102106 102141 102163 102168 102154 102121 102064 101982 101869 101723 101542 101322 101066 100772 100455 100126 99809 99536 99342 99267 99335 99558 99931 100427 101008 101631 102265 102879 103455 103989 104476 104918 105319 105684 106021 106333 106627 106909 107176 107438 107693 107940 108175 108403 108618 108823 109020 109210 109392 109566 109737 109901 110061 110217 110366 110510 110649 110782 110910 111034 111152 111267 111380 111490 111600 111711 111820 111928 112040 112154 112269 112388 112509 112632 112756 112880 113002 113124 113244 113364 113481 113599 113716 113828 113944 114058 114172 114286 114403 114521 114639 114757 114875 114995 115115 115232 115351 115471 115590 115709 115830 115954 116078 116206 116337 116472 116608 116746 116884 117020 117156 117289 117419 117547 117674 117800 117927 118055 118183 118311 118439 118565 118692 118819 118945 119069 119193 119316 119440 119562 119685 119807 119931 120054 120176 120297 120415 120532 120647 120763 120875 120988 121100 121210 121319 121424 121524 121618 ;
2023-05-12_141927;66;2471;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;-8.379364e-02;-2.682209e-03;2.537945e+00;88189 88343 88495 88649 88802 88954 89107 89259 89412 89562 89713 89863 90014 90162 90312 90461 90608 90755 90904 91049 91195 91340 91484 91629 91774 91915 92056 92199 92341 92481 92623 92762 92903 93041 93180 93319 93457 93595 93732 93869 94006 94142 94279 94415 94549 94682 94816 94948 95081 95212 95344 95476 95608 95740 95870 96000 96132 96264 96397 96529 96663 96794 96927 97060 97191 97322 97452 97581 97711 97837 97965 98090 98217 98342 98467 98590 98714 98835 98957 99076 99196 99316 99433 99551 99666 99783 99900 100015 100130 100245 100359 100474 100587 100700 100814 100927 101039 101151 101260 101369 101473 101572 101667 101756 101840 101915 101983 102041 102089 102124 102145 102149 102139 102107 102053 101973 101865 101721 101543 101325 101071 100780 100463 100135 99818 99544 99348 99269 99332 99554 99925 100417 100994 101616 102245 102855 103431 103961 104446 104886 105286 105650 105985 106297 106589 106870 107140 107401 107656 107901 108136 108360 108574 108779 108972 109161 109340 109514 109683 109848 110009 110166 110318 110467 110610 110748 110884 111012 111138 111259 111378 111493 111607 111721 111833 111942 112053 112166 112279 112395 112512 112631 112750 112871 112989 113107 113224 113342 113458 113575 113690 113806 113921 114038 114156 114274 114394 114514 114636 114756 114876 114998 115119 115238 115357 115476 115596 115715 115834 115958 116083 116211 116340 116471 116605 116737 116870 117001 117130 117258 117383 117510 117635 117762 117891 118022 118154 118287 118421 118553 118685 118816 118947 119077 119206 119336 119462 119591 119719 119846 119974 120101 120227 120350 120472 120592 120709 120824 120936 121046 121154 121260 121360 121457 121548 121632 ;
2023-05-12_141937;67;2470;0.000000e+00;0.000000e+00;nan;0.000000e+00;0.000000e+00;nan;7.956302e-01;-6.258488e-03;7.420628e-01;88179 88333 88486 88639 88789 88943 89094 89247 89397 89548 89698 89847 89996 90145 90293 90441 90589 90735 90881 91027 91172 91316 91461 91604 91747 91889 92031 92173 92316 92458 92598 92739 92879 93018 93159 93299 93437 93577 93716 93854 93992 94130 94267 94403 94538 94673 94807 94940 95072 95204 95333 95464 95593 95722 95851 95979 96107 96237 96365 96496 96626 96756 96887 97016 97147 97277 97405 97534 97661 97789 97917 98045 98172 98299 98426 98551 98677 98802 98925 99049 99171 99292 99412 99533 99652 99770 99889 100008 100125 100241 100356 100470 100584 100698 100810 100924 101037 101148 101259 101365 101469 101571 101669 101758 101845 101922 101993 102051 102101 102137 102159 102167 102155 102123 102066 101984 101872 101726 101544 101323 101065 100771 100450 100118 99797 99521 99323 99239 99303 99523 99890 100381 100958 101578 102209 102818 103394 103925 104412 104853 105253 105618 105953 106264 106554 106834 107103 107362 107614 107858 108094 108322 108539 108747 108947 109140 109327 109508 109683 109854 110020 110182 110337 110488 110632 110771 110905 111033 111156 111274 111390 111503 111613 111721 111829 111936 112044 112153 112263 112378 112494 112613 112734 112854 112975 113098 113219 113341 113460 113581 113700 113819 113934 114053 114169 114289 114407 114526 114647 114766 114887 115006 115125 115242 115357 115474 115588 115703 115819 115939 116059 116181 116309 116440 116573 116707 116842 116979 117112 117247 117377 117508 117639 117773 117908 118043 118182 118319 118458 118595 118732 118866 119000 119133 119265 119394 119521 119648 119774 119899 120023 120144 120264 120381 120494 120604 120712 120819 120922 121024 121126 121225 121323 121416 121503 121586 ;
