[Timestamp;Sample number;dirOffsetM0T0;C0;V0[mV];W0;C1;V1[mV];W1;C2;V2[mV];W2;Direct M0 TS0;]
2023-05-23_115201;24;-111941;-5.344686e-02;-4.172326e-03;2.966730e+00;-5.344686e-02;-4.172326e-03;2.966730e+00;0.000000e+00;0.000000e+00;nan;803597 806871 810142 813420 816701 819978 823245 826497 829734 832975 836222 839452 842684 845923 849153 852376 855602 858823 862034 865239 868450 871662 874857 878056 881259 884449 887644 890842 894036 897223 900403 903573 906738 909917 913087 916252 919430 922599 925764 928929 932097 935264 938419 941573 944732 947883 951036 954197 957350 960497 963655 966811 969964 973111 976249 979376 982505 985647 988793 991926 995063 998202 1001337 1004470 1007598 1010715 1013836 1016961 1020085 1023206 1026333 1029455 1032567 1035693 1038819 1041937 1045044 1048148 1051262 1054366 1057472 1060588 1063690 1066794 1069902 1073008 1076105 1079204 1082293 1085375 1088463 1091541 1094612 1097676 1100748 1103822 1106884 1109935 1112971 1115979 1118981 1121979 1124955 1127913 1130864 1133796 1136696 1139585 1142438 1145252 1148039 1150791 1153505 1156169 1158789 1161372 1163903 1166394 1168847 1171258 1173633 1175984 1178319 1180679 1183084 1185555 1188131 1190854 1193740 1196826 1200126 1203664 1207421 1211371 1215506 1219797 1224204 1228699 1233254 1237826 1242403 1246973 1251526 1256026 1260475 1264855 1269182 1273463 1277713 1281929 1286088 1290216 1294314 1298367 1302398 1306398 1310363 1314315 1318259 1322183 1326089 1329992 1333880 1337756 1341636 1345510 1349375 1353216 1357055 1360901 1364740 1368576 1372421 1376254 1380089 1383936 1387777 1391610 1395442 1399266 1403087 1406916 1410733 1414547 1418358 1422174 1425998 1429816 1433629 1437421 1441189 1444960 1448735 1452490 1456240 1459999 1463745 1467484 1471224 1474959 1478685 1482408 1486114 1489813 1493503 1497202 1500903 1504594 1508289 1511981 1515670 1519352 1523027 1526683 1530336 1534003 1537662 1541321 1544981 1548628 1552267 1555905 1559553 1563187 1566803 1570417 1574029 1577624 1581219 1584809 1588386 1591959 1595532 1599100 1602643 1606176 1609677 1613166 1616647 1620131 1623606 1627064 1630508 1633943 1637354 1640753 1644138 1647501 1650850 1654199 1657528 1660840 1664147 1667439 1670717 1673997 ;
2023-05-23_115211;25;-111831;9.896016e-03;8.046628e-03;1.153299e+00;9.896016e-03;8.046628e-03;1.153299e+00;0.000000e+00;0.000000e+00;nan;803004 806274 809543 812817 816095 819368 822637 825888 829124 832361 835603 838830 842057 845292 848518 851738 854961 858180 861388 864589 867795 871002 874197 877393 880591 883779 886969 890160 893352 896534 899716 902886 906052 909224 912389 915556 918719 921888 925048 928210 931375 934538 937690 940843 944000 947142 950282 953441 956593 959743 962898 966054 969201 972339 975468 978594 981720 984857 988002 991135 994268 997400 1000528 1003656 1006780 1009894 1013007 1016131 1019253 1022369 1025493 1028610 1031720 1034837 1037958 1041071 1044176 1047281 1050391 1053490 1056594 1059697 1062791 1065889 1068994 1072097 1075192 1078283 1081368 1084445 1087527 1090603 1093669 1096727 1099792 1102857 1105914 1108965 1111989 1114993 1117995 1120987 1123958 1126915 1129865 1132791 1135688 1138571 1141419 1144230 1147002 1149745 1152462 1155126 1157753 1160336 1162867 1165351 1167800 1170207 1172584 1174937 1177273 1179625 1182027 1184495 1187059 1189770 1192645 1195714 1199004 1202523 1206267 1210207 1214331 1218611 1223000 1227487 1232041 1236611 1241182 1245748 1250294 1254794 1259237 1263620 1267942 1272219 1276463 1280675 1284832 1288957 1293049 1297099 1301126 1305125 1309083 1313022 1316964 1320884 1324787 1328682 1332566 1336438 1340309 1344177 1348030 1351864 1355701 1359537 1363362 1367199 1371038 1374865 1378689 1382527 1386357 1390186 1394008 1397823 1401637 1405460 1409277 1413086 1416893 1420704 1424518 1428334 1432137 1435923 1439686 1443447 1447214 1450966 1454719 1458477 1462218 1465949 1469678 1473403 1477119 1480838 1484542 1488236 1491922 1495618 1499314 1502999 1506680 1510367 1514053 1517730 1521397 1525045 1528697 1532362 1536010 1539654 1543306 1546950 1550583 1554212 1557845 1561475 1565083 1568692 1572300 1575895 1579485 1583071 1586643 1590204 1593760 1597324 1600869 1604397 1607903 1611392 1614864 1618340 1621810 1625259 1628698 1632128 1635533 1638935 1642317 1645669 1649019 1652357 1655680 1658988 1662299 1665581 1668853 1672119 ;
2023-05-23_115221;26;-111606;1.158624e-01;3.576279e-03;1.618527e+00;1.158624e-01;3.576279e-03;1.618527e+00;0.000000e+00;0.000000e+00;nan;801691 804956 808216 811483 814753 818022 821287 824534 827765 831000 834237 837460 840681 843913 847134 850349 853571 856789 859995 863190 866389 869588 872780 875973 879168 882352 885531 888717 891902 895087 898263 901425 904581 907751 910912 914070 917238 920400 923556 926712 929874 933032 936181 939327 942478 945617 948755 951911 955055 958196 961346 964496 967641 970780 973904 977027 980148 983279 986418 989544 992675 995805 998928 1002055 1005177 1008287 1011399 1014516 1017628 1020734 1023853 1026970 1030079 1033194 1036314 1039423 1042518 1045615 1048718 1051813 1054909 1058012 1061103 1064197 1067299 1070392 1073487 1076576 1079654 1082728 1085807 1088874 1091935 1094993 1098054 1101116 1104172 1107214 1110231 1113232 1116227 1119215 1122181 1125131 1128075 1130993 1133886 1136763 1139609 1142420 1145189 1147940 1150646 1153307 1155928 1158510 1161039 1163527 1165975 1168383 1170760 1173110 1175454 1177809 1180209 1182671 1185228 1187935 1190798 1193849 1197117 1200620 1204346 1208265 1212376 1216649 1221035 1225515 1230062 1234631 1239200 1243767 1248314 1252809 1257249 1261626 1265953 1270225 1274466 1278675 1282831 1286951 1291040 1295080 1299102 1303095 1307055 1310996 1314928 1318841 1322734 1326630 1330508 1334375 1338239 1342097 1345951 1349780 1353609 1357446 1361265 1365091 1368926 1372749 1376570 1380402 1384230 1388051 1391873 1395681 1399490 1403311 1407118 1410920 1414718 1418528 1422340 1426152 1429955 1433732 1437497 1441260 1445031 1448778 1452515 1456266 1460004 1463739 1467474 1471199 1474913 1478618 1482319 1486005 1489687 1493377 1497067 1500751 1504430 1508111 1511787 1515457 1519125 1522772 1526418 1530071 1533712 1537352 1540999 1544637 1548270 1551897 1555532 1559159 1562768 1566382 1569985 1573564 1577147 1580720 1584289 1587847 1591409 1594968 1598505 1602031 1605528 1609010 1612482 1615958 1619424 1622866 1626303 1629732 1633139 1636534 1639907 1643264 1646616 1649958 1653279 1656583 1659880 1663168 1666439 1669706 ;
2023-05-23_115231;27;-111635;-1.538129e-03;1.192093e-03;-8.265698e-02;-1.538129e-03;1.192093e-03;-8.265698e-02;0.000000e+00;0.000000e+00;nan;802062 805330 808592 811861 815134 818404 821671 824922 828154 831388 834625 837852 841078 844309 847531 850747 853972 857187 860390 863586 866786 869995 873188 876381 879575 882755 885943 889132 892321 895502 898676 901844 905006 908176 911339 914501 917669 920830 923983 927134 930293 933454 936602 939753 942907 946050 949193 952346 955493 958636 961785 964935 968080 971217 974342 977465 980589 983727 986866 989997 993129 996260 999385 1002509 1005637 1008745 1011858 1014980 1018092 1021208 1024326 1027439 1030549 1033665 1036783 1039893 1042995 1046096 1049205 1052299 1055398 1058501 1061596 1064688 1067789 1070883 1073972 1077065 1080142 1083212 1086298 1089367 1092432 1095487 1098543 1101607 1104658 1107703 1110722 1113722 1116715 1119707 1122678 1125630 1128572 1131493 1134389 1137270 1140120 1142934 1145705 1148449 1151162 1153825 1156451 1159037 1161571 1164059 1166512 1168924 1171301 1173657 1175997 1178350 1180749 1183207 1185766 1188460 1191316 1194365 1197624 1201120 1204837 1208749 1212851 1217119 1221499 1225984 1230530 1235095 1239665 1244237 1248783 1253279 1257732 1262119 1266452 1270733 1274978 1279192 1283345 1287463 1291552 1295604 1299632 1303631 1307589 1311531 1315467 1319379 1323272 1327169 1331051 1334920 1338783 1342654 1346504 1350330 1354159 1357994 1361818 1365648 1369478 1373299 1377120 1380949 1384780 1388602 1392423 1396239 1400049 1403874 1407686 1411486 1415286 1419097 1422911 1426727 1430536 1434320 1438084 1441850 1445618 1449369 1453113 1456868 1460610 1464344 1468082 1471802 1475519 1479232 1482932 1486624 1490306 1493997 1497692 1501374 1505059 1508742 1512420 1516096 1519764 1523418 1527068 1530721 1534366 1538008 1541657 1545296 1548926 1552552 1556184 1559808 1563415 1567021 1570628 1574220 1577805 1581391 1584960 1588520 1592088 1595644 1599189 1602714 1606218 1609702 1613181 1616657 1620130 1623577 1627014 1630442 1633856 1637258 1640640 1643998 1647342 1650683 1654005 1657312 1660619 1663901 1667171 1670441 ;
2023-05-23_115241;28;-111379;1.078942e-01;9.536744e-03;1.526891e+00;1.078942e-01;9.536744e-03;1.526891e+00;0.000000e+00;0.000000e+00;nan;800425 803685 806941 810203 813470 816732 819991 823236 826459 829685 832916 836137 839358 842581 845800 849010 852226 855435 858634 861825 865018 868216 871400 874583 877770 880948 884127 887309 890488 893666 896835 899991 903143 906304 909457 912613 915777 918927 922077 925225 928381 931536 934676 937820 940966 944097 947230 950376 953512 956649 959793 962940 966077 969212 972331 975446 978562 981686 984821 987942 991068 994193 997310 1000433 1003547 1006650 1009752 1012862 1015969 1019081 1022194 1025298 1028398 1031506 1034620 1037722 1040811 1043901 1047001 1050087 1053177 1056274 1059362 1062449 1065540 1068634 1071715 1074793 1077863 1080927 1083996 1087064 1090117 1093165 1096216 1099272 1102318 1105357 1108374 1111364 1114350 1117332 1120288 1123230 1126168 1129082 1131967 1134840 1137678 1140483 1143248 1145987 1148696 1151355 1153978 1156561 1159090 1161576 1164023 1166437 1168813 1171168 1173501 1175852 1178244 1180701 1183252 1185940 1188779 1191805 1195043 1198515 1202211 1206107 1210192 1214443 1218806 1223273 1227809 1232363 1236927 1241492 1246030 1250529 1254971 1259347 1263669 1267945 1272182 1276392 1280546 1284665 1288746 1292786 1296799 1300783 1304735 1308666 1312589 1316494 1320381 1324265 1328129 1331988 1335846 1339705 1343545 1347364 1351188 1355009 1358825 1362642 1366461 1370275 1374085 1377909 1381730 1385542 1389356 1393159 1396965 1400774 1404572 1408366 1412157 1415958 1419761 1423564 1427363 1431140 1434898 1438651 1442406 1446156 1449899 1453644 1457379 1461103 1464829 1468551 1472261 1475965 1479657 1483337 1487011 1490688 1494376 1498059 1501731 1505404 1509067 1512731 1516386 1520024 1523658 1527307 1530950 1534582 1538226 1541856 1545474 1549091 1552712 1556325 1559925 1563523 1567123 1570703 1574284 1577860 1581418 1584969 1588528 1592083 1595614 1599129 1602618 1606095 1609567 1613036 1616506 1619950 1623381 1626802 1630196 1633589 1636964 1640316 1643656 1646995 1650314 1653614 1656918 1660193 1663453 1666713 ;
2023-05-23_115251;29;-111328;2.564454e-02;-5.960465e-03;1.967638e+00;2.564454e-02;-5.960465e-03;1.967638e+00;0.000000e+00;0.000000e+00;nan;800241 803497 806755 810020 813286 816547 819804 823049 826274 829501 832733 835952 839171 842396 845610 848823 852036 855246 858444 861633 864826 868029 871215 874403 877589 880765 883943 887128 890310 893483 896650 899805 902959 906120 909278 912430 915590 918743 921889 925039 928193 931345 934485 937629 940774 943908 947043 950191 953331 956463 959607 962751 965887 969019 972141 975257 978373 981503 984636 987755 990878 994005 997122 1000240 1003354 1006462 1009569 1012681 1015787 1018890 1021998 1025102 1028206 1031317 1034429 1037533 1040621 1043711 1046806 1049894 1052990 1056086 1059174 1062260 1065355 1068444 1071522 1074601 1077671 1080734 1083807 1086863 1089915 1092960 1096011 1099067 1102116 1105149 1108162 1111154 1114142 1117124 1120076 1123016 1125958 1128874 1131764 1134633 1137467 1140269 1143035 1145778 1148490 1151153 1153771 1156352 1158877 1161364 1163818 1166234 1168614 1170970 1173310 1175663 1178059 1180515 1183058 1185738 1188572 1191584 1194821 1198281 1201962 1205840 1209921 1214174 1218540 1223002 1227535 1232093 1236658 1241221 1245767 1250265 1254709 1259094 1263420 1267702 1271945 1276153 1280307 1284419 1288501 1292544 1296567 1300560 1304511 1308441 1312364 1316268 1320155 1324042 1327907 1331760 1335621 1339480 1343320 1347142 1350960 1354785 1358597 1362414 1366236 1370050 1373861 1377681 1381501 1385314 1389128 1392933 1396734 1400541 1404342 1408139 1411938 1415739 1419547 1423355 1427152 1430932 1434694 1438454 1442214 1445956 1449693 1453445 1457185 1460916 1464649 1468367 1472077 1475779 1479466 1483153 1486834 1490518 1494211 1497883 1501555 1505227 1508895 1512565 1516226 1519871 1523512 1527152 1530793 1534423 1538064 1541698 1545315 1548936 1552560 1556181 1559782 1563380 1566979 1570562 1574143 1577721 1581282 1584842 1588399 1591953 1595489 1599011 1602505 1605984 1609455 1612925 1616392 1619836 1623270 1626696 1630104 1633497 1636874 1640229 1643573 1646911 1650231 1653539 1656843 1660124 1663390 1666658 ;
2023-05-23_115301;30;-111354;1.067068e-01;4.470349e-03;2.521069e+00;1.067068e-01;4.470349e-03;2.521069e+00;0.000000e+00;0.000000e+00;nan;800521 803781 807038 810301 813566 816832 820091 823337 826561 829786 833019 836239 839459 842686 845905 849118 852333 855541 858740 861930 865128 868328 871511 874697 877884 881059 884240 887422 890602 893777 896949 900104 903256 906416 909569 912719 915882 919034 922182 925330 928485 931640 934780 937921 941069 944202 947337 950478 953614 956748 959892 963037 966174 969306 972424 975542 978658 981782 984918 988041 991165 994289 997406 1000524 1003641 1006743 1009849 1012967 1016074 1019179 1022289 1025391 1028493 1031601 1034714 1037814 1040900 1043993 1047087 1050172 1053263 1056361 1059447 1062531 1065619 1068708 1071785 1074869 1077939 1081002 1084076 1087136 1090187 1093236 1096284 1099331 1102376 1105407 1108423 1111411 1114395 1117375 1120336 1123281 1126215 1129123 1132007 1134869 1137709 1140517 1143287 1146026 1148737 1151393 1154014 1156596 1159127 1161621 1164076 1166495 1168879 1171240 1173581 1175939 1178334 1180784 1183328 1185999 1188826 1191834 1195053 1198498 1202168 1206042 1210111 1214349 1218710 1223168 1227702 1232258 1236826 1241397 1245946 1250455 1254903 1259288 1263619 1267901 1272148 1276355 1280513 1284630 1288715 1292761 1296778 1300766 1304716 1308654 1312577 1316477 1320361 1324238 1328108 1331960 1335816 1339674 1343507 1347328 1351150 1354975 1358787 1362597 1366421 1370231 1374040 1377861 1381677 1385492 1389300 1393100 1396901 1400708 1404511 1408304 1412097 1415896 1419704 1423514 1427316 1431098 1434854 1438613 1442377 1446127 1449869 1453618 1457358 1461089 1464816 1468541 1472258 1475965 1479657 1483337 1487017 1490701 1494390 1498066 1501739 1505410 1509085 1512744 1516398 1520037 1523681 1527324 1530961 1534591 1538232 1541867 1545489 1549115 1552739 1556363 1559964 1563560 1567162 1570741 1574322 1577893 1581457 1585014 1588572 1592128 1595661 1599181 1602675 1606153 1609623 1613095 1616568 1620017 1623451 1626877 1630282 1633681 1637062 1640418 1643763 1647107 1650431 1653739 1657042 1660323 1663592 1666853 ;
2023-05-23_115311;31;-111153;1.506690e-01;2.086163e-03;2.221497e+00;1.506690e-01;2.086163e-03;2.221497e+00;0.000000e+00;0.000000e+00;nan;799382 802643 805896 809159 812424 815680 818935 822174 825394 828621 831848 835062 838277 841499 844712 847922 851133 854338 857532 860719 863911 867103 870283 873464 876645 879817 882995 886175 889352 892522 895685 898834 901983 905141 908292 911441 914599 917749 920894 924036 927182 930329 933463 936600 939743 942874 946007 949147 952279 955410 958547 961682 964816 967943 971062 974173 977288 980412 983537 986656 989773 992899 996012 999125 1002236 1005333 1008435 1011548 1014650 1017748 1020859 1023955 1027051 1030154 1033259 1036359 1039440 1042528 1045617 1048702 1051789 1054881 1057962 1061044 1064131 1067214 1070285 1073358 1076420 1079479 1082546 1085602 1088642 1091687 1094734 1097779 1100816 1103842 1106848 1109831 1112813 1115787 1118742 1121681 1124611 1127519 1130398 1133263 1136098 1138899 1141662 1144400 1147103 1149758 1152381 1154959 1157484 1159974 1162424 1164844 1167232 1169594 1171935 1174285 1176676 1179117 1181656 1184323 1187136 1190128 1193332 1196761 1200414 1204270 1208328 1212550 1216893 1221348 1225875 1230426 1234988 1239558 1244107 1248607 1253051 1257437 1261762 1266044 1270289 1274494 1278645 1282756 1286836 1290879 1294888 1298873 1302817 1306746 1310666 1314563 1318442 1322318 1326178 1330023 1333875 1337725 1341561 1345375 1349185 1353004 1356811 1360618 1364429 1368234 1372037 1375851 1379662 1383467 1387276 1391069 1394866 1398669 1402465 1406258 1410045 1413843 1417648 1421447 1425243 1429022 1432775 1436533 1440295 1444038 1447776 1451524 1455257 1458982 1462707 1466416 1470118 1473821 1477509 1481190 1484867 1488546 1492229 1495898 1499567 1503238 1506907 1510567 1514216 1517853 1521487 1525132 1528769 1532397 1536029 1539651 1543267 1546889 1550504 1554120 1557715 1561308 1564907 1568479 1572057 1575633 1579191 1582741 1586288 1589843 1593378 1596894 1600389 1603865 1607333 1610807 1614272 1617717 1621151 1624577 1627979 1631369 1634744 1638100 1641439 1644780 1648095 1651404 1654701 1657981 1661242 1664501 ;
2023-05-23_115321;32;-111094;1.801616e-01;2.384186e-03;1.459454e+00;1.801616e-01;2.384186e-03;1.459454e+00;0.000000e+00;0.000000e+00;nan;799168 802422 805676 808935 812198 815462 818720 821954 825177 828398 831627 834841 838053 841277 844493 847700 850910 854109 857309 860493 863684 866878 870057 873240 876425 879595 882766 885940 889113 892282 895446 898598 901744 904905 908054 911203 914362 917505 920645 923790 926940 930094 933224 936362 939504 942632 945763 948905 952039 955167 958304 961442 964570 967697 970812 973922 977031 980151 983279 986395 989510 992631 995746 998862 1001976 1005076 1008177 1011287 1014391 1017492 1020599 1023694 1026790 1029898 1033005 1036103 1039183 1042266 1045358 1048435 1051520 1054606 1057684 1060759 1063845 1066929 1070005 1073082 1076143 1079201 1082262 1085312 1088355 1091402 1094449 1097496 1100529 1103557 1106561 1109543 1112518 1115490 1118445 1121385 1124317 1127219 1130093 1132952 1135783 1138580 1141346 1144086 1146791 1149449 1152069 1154650 1157181 1159677 1162134 1164554 1166939 1169304 1171652 1174006 1176394 1178836 1181370 1184028 1186827 1189811 1193003 1196427 1200066 1203913 1207951 1212169 1216506 1220949 1225474 1230025 1234591 1239159 1243711 1248215 1252666 1257055 1261382 1265669 1269915 1274126 1278283 1282397 1286478 1290516 1294528 1298516 1302460 1306390 1310304 1314200 1318082 1321956 1325818 1329663 1333511 1337357 1341191 1345006 1348818 1352631 1356442 1360251 1364068 1367868 1371673 1375487 1379291 1383095 1386899 1390696 1394495 1398298 1402092 1405876 1409657 1413456 1417255 1421058 1424848 1428624 1432384 1436140 1439900 1443649 1447394 1451143 1454878 1458605 1462332 1466052 1469757 1473466 1477153 1480840 1484510 1488186 1491878 1495548 1499215 1502883 1506542 1510197 1513848 1517485 1521121 1524765 1528394 1532026 1535662 1539291 1542907 1546524 1550145 1553760 1557360 1560955 1564547 1568124 1571704 1575287 1578844 1582399 1585946 1589494 1593025 1596541 1600032 1603505 1606978 1610453 1613920 1617365 1620802 1624225 1627636 1631034 1634418 1637774 1641118 1644461 1647781 1651091 1654391 1657670 1660939 1664205 ;
2023-05-23_115331;33;-110873;7.110610e-02;1.132488e-02;8.058339e-01;7.110610e-02;1.132488e-02;8.058339e-01;0.000000e+00;0.000000e+00;nan;797814 801065 804311 807564 810820 814073 817322 820557 823772 826986 830208 833414 836623 839837 843045 846245 849449 852644 855832 859010 862194 865380 868550 871729 874906 878071 881237 884408 887575 890740 893901 897047 900187 903335 906478 909617 912767 915911 919047 922182 925321 928461 931585 934715 937848 940969 944094 947230 950354 953480 956608 959744 962873 965988 969093 972195 975301 978416 981543 984653 987764 990873 993975 997084 1000190 1003284 1006377 1009479 1012573 1015664 1018760 1021854 1024941 1028041 1031137 1034225 1037297 1040376 1043460 1046536 1049615 1052698 1055769 1058841 1061922 1064994 1068064 1071131 1074183 1077231 1080285 1083333 1086370 1089401 1092438 1095477 1098508 1101523 1104522 1107497 1110469 1113431 1116375 1119304 1122228 1125127 1128004 1130859 1133689 1136480 1139238 1141969 1144666 1147316 1149930 1152504 1155032 1157521 1159970 1162384 1164765 1167123 1169466 1171815 1174203 1176641 1179166 1181819 1184614 1187583 1190755 1194156 1197781 1201609 1205637 1209841 1214167 1218598 1223113 1227658 1232212 1236768 1241306 1245802 1250249 1254630 1258951 1263226 1267462 1271667 1275813 1279919 1283993 1288024 1292031 1296008 1299944 1303857 1307769 1311659 1315534 1319399 1323242 1327083 1330925 1334763 1338585 1342382 1346184 1349985 1353778 1357584 1361383 1365177 1368970 1372776 1376570 1380359 1384159 1387945 1391734 1395527 1399311 1403092 1406874 1410663 1414459 1418250 1422038 1425805 1429550 1433300 1437047 1440783 1444513 1448255 1451987 1455704 1459418 1463131 1466829 1470524 1474206 1477879 1481546 1485216 1488889 1492547 1496202 1499869 1503525 1507174 1510818 1514447 1518072 1521703 1525329 1528947 1532575 1536185 1539792 1543397 1547004 1550609 1554195 1557781 1561366 1564935 1568503 1572067 1575615 1579154 1582701 1586245 1589775 1593287 1596770 1600241 1603700 1607164 1610627 1614063 1617488 1620907 1624307 1627692 1631066 1634417 1637752 1641087 1644398 1647697 1650985 1654256 1657510 1660767 ;
