[Timestamp;Sample number;dirOffsetM0T0;C0;V0[mV];W0;C1;V1[mV];W1;C2;V2[mV];W2;Direct M0 TS0;]
2023-05-23_144711;8;-33240;2.354850e-01;4.470349e-03;2.380314e+00;2.354850e-01;4.470349e-03;2.380314e+00;0.000000e+00;0.000000e+00;nan;287222 288408 289591 290780 291970 293160 294348 295530 296706 297882 299061 300237 301414 302592 303766 304942 306116 307289 308457 309624 310793 311962 313130 314298 315464 316629 317794 318963 320129 321294 322456 323616 324774 325934 327093 328253 329415 330575 331734 332893 334055 335214 336372 337529 338688 339844 341001 342160 343319 344479 345641 346805 347965 349123 350275 351429 352585 353743 354909 356071 357234 358395 359556 360719 361881 363041 364203 365368 366530 367690 368853 370015 371178 372344 373515 374679 375842 377006 378171 379334 380499 381668 382832 383997 385163 386327 387488 388651 389814 390973 392136 393297 394455 395610 396770 397930 399087 400239 401386 402524 403665 404808 405939 407069 408200 409326 410443 411555 412670 413777 414879 415977 417076 418173 419269 420370 421472 422580 423695 424815 425942 427077 428219 429372 430536 431708 432899 434104 435324 436559 437808 439081 440368 441671 442987 444322 445668 447029 448402 449783 451175 452579 453994 455413 456833 458252 459672 461094 462522 463950 465375 466796 468213 469623 471027 472427 473819 475205 476594 477968 479340 480710 482080 483444 484808 486171 487527 488879 490231 491586 492938 494285 495634 496979 498321 499667 501010 502353 503696 505033 506367 507702 509032 510361 511687 513016 514346 515674 516998 518314 519625 520935 522243 523548 524846 526151 527452 528749 530047 531341 532633 533926 535211 536495 537774 539055 540336 541614 542893 544173 545454 546732 548004 549270 550535 551807 553070 554334 555600 556862 558121 559382 560645 561904 563159 564411 565661 566905 568145 569387 570621 571854 573090 574320 575546 576767 577979 579181 580382 581580 582777 583969 585154 586338 587514 588688 589855 591010 592161 593312 594457 595597 596730 597860 598981 600106 ;
2023-05-23_144721;9;-33278;1.406051e-02;-2.086163e-03;2.146543e-01;1.406051e-02;-2.086163e-03;2.146543e-01;0.000000e+00;0.000000e+00;nan;287231 288414 289594 290780 291965 293148 294332 295513 296689 297860 299033 300207 301379 302550 303720 304889 306063 307234 308402 309564 310730 311898 313059 314221 315383 316544 317705 318869 320030 321191 322349 323505 324656 325809 326963 328120 329278 330434 331588 332745 333901 335057 336209 337365 338517 339667 340821 341981 343136 344291 345449 346609 347766 348921 350074 351227 352381 353541 354702 355860 357019 358179 359338 360499 361660 362816 363973 365136 366300 367462 368626 369789 370948 372117 373286 374452 375611 376772 377935 379098 380267 381435 382599 383762 384928 386092 387257 388424 389586 390744 391909 393069 394229 395386 396549 397713 398875 400034 401188 402336 403486 404637 405777 406920 408058 409195 410327 411458 412584 413700 414809 415914 417014 418099 419180 420256 421321 422378 423428 424473 425513 426543 427569 428597 429635 430682 431751 432849 433981 435149 436363 437628 438934 440282 441674 443107 444567 446052 447552 449060 450568 452079 453586 455085 456569 458036 459491 460932 462365 463795 465209 466616 468015 469403 470790 472166 473533 474898 476261 477622 478980 480337 481690 483041 484395 485749 487098 488443 489791 491138 492485 493830 495178 496520 497865 499214 500562 501905 503250 504591 505927 507271 508608 509943 511272 512605 513941 515276 516605 517928 519240 520551 521861 523163 524464 525767 527065 528360 529652 530940 532228 533510 534788 536066 537338 538618 539897 541170 542444 543714 544988 546261 547529 548796 550062 551333 552596 553860 555126 556391 557654 558918 560181 561448 562706 563962 565214 566466 567717 568964 570208 571450 572690 573931 575166 576392 577604 578814 580022 581226 582430 583626 584820 586009 587189 588364 589528 590682 591834 592987 594133 595268 596406 597533 598657 599779 ;
2023-05-23_144731;10;-33232;2.265016e-01;-4.768372e-03;2.034625e+00;2.265016e-01;-4.768372e-03;2.034625e+00;0.000000e+00;0.000000e+00;nan;286831 288013 289194 290373 291557 292741 293923 295102 296276 297450 298625 299796 300967 302143 303315 304485 305653 306819 307983 309145 310310 311475 312633 313794 314953 316111 317272 318434 319596 320758 321914 323065 324217 325371 326522 327676 328833 329991 331145 332299 333450 334603 335749 336900 338051 339198 340345 341501 342655 343808 344962 346122 347278 348434 349583 350734 351887 353044 354206 355362 356520 357676 358831 359987 361143 362296 363448 364607 365764 366924 368085 369248 370408 371571 372733 373895 375053 376214 377379 378541 379701 380865 382029 383192 384362 385527 386688 387848 389005 390167 391330 392492 393649 394809 395970 397131 398288 399446 400596 401743 402889 404035 405176 406316 407455 408590 409719 410849 411968 413082 414190 415296 416393 417478 418552 419627 420690 421750 422802 423848 424884 425915 426945 427976 429011 430060 431128 432225 433351 434513 435719 436976 438280 439625 441012 442437 443887 445364 446861 448366 449873 451381 452887 454381 455864 457331 458785 460232 461671 463100 464513 465918 467315 468701 470086 471463 472831 474197 475557 476909 478259 479608 480954 482299 483650 485000 486348 487691 489032 490376 491715 493059 494401 495741 497084 498429 499772 501115 502456 503793 505126 506463 507794 509124 510454 511782 513117 514448 515775 517096 518412 519726 521041 522350 523656 524960 526258 527552 528845 530133 531419 532704 533984 535261 536531 537804 539076 540348 541617 542890 544164 545437 546706 547969 549234 550497 551762 553028 554295 555557 556817 558078 559337 560597 561848 563100 564355 565610 566863 568116 569361 570603 571846 573087 574322 575551 576772 577987 579196 580403 581602 582796 583983 585169 586351 587527 588694 589855 591012 592166 593307 594446 595585 596718 597843 598963 ;
2023-05-23_144741;11;-33158;4.638205e-02;7.450582e-03;2.894228e+00;4.638205e-02;7.450582e-03;2.894228e+00;0.000000e+00;0.000000e+00;nan;286712 287893 289071 290254 291440 292624 293806 294983 296153 297325 298502 299672 300843 302014 303185 304352 305522 306689 307855 309016 310179 311343 312503 313665 314827 315983 317143 318302 319461 320618 321777 322930 324081 325238 326388 327540 328696 329848 330999 332150 333302 334457 335605 336758 337912 339061 340213 341365 342519 343670 344827 345985 347141 348293 349443 350591 351740 352896 354054 355210 356367 357526 358682 359838 360991 362149 363305 364464 365622 366780 367942 369102 370260 371423 372586 373748 374906 376067 377227 378389 379550 380715 381876 383033 384195 385354 386516 387683 388846 390005 391163 392318 393473 394630 395789 396948 398105 399263 400413 401555 402698 403843 404978 406116 407255 408388 409520 410645 411767 412878 413981 415082 416181 417266 418345 419418 420479 421533 422580 423622 424661 425693 426723 427751 428787 429838 430904 431998 433119 434278 435477 436724 438016 439349 440732 442155 443603 445080 446577 448081 449588 451099 452610 454107 455593 457063 458519 459966 461402 462832 464246 465653 467052 468441 469821 471197 472564 473927 475286 476641 477995 479350 480698 482048 483398 484747 486091 487429 488768 490114 491452 492796 494141 495481 496822 498166 499507 500845 502186 503525 504860 506199 507534 508866 510199 511535 512872 514202 515530 516854 518168 519484 520797 522103 523406 524712 526010 527306 528601 529888 531175 532459 533738 535012 536284 537558 538834 540105 541378 542649 543916 545185 546453 547716 548972 550235 551498 552760 554024 555289 556548 557809 559072 560333 561587 562841 564091 565336 566587 567834 569075 570316 571555 572794 574026 575254 576471 577681 578890 580100 581311 582510 583704 584894 586077 587252 588424 589585 590740 591893 593039 594184 595323 596452 597575 598697 ;
2023-05-23_144751;12;-33089;4.035363e-02;6.556511e-03;2.710474e+00;4.035363e-02;6.556511e-03;2.710474e+00;0.000000e+00;0.000000e+00;nan;286397 287578 288758 289941 291124 292307 293488 294665 295835 297006 298178 299346 300515 301687 302855 304023 305190 306358 307521 308682 309845 311008 312166 313325 314488 315644 316802 317964 319122 320278 321434 322584 323733 324885 326037 327189 328342 329492 330643 331795 332949 334101 335248 336398 337549 338695 339843 340995 342148 343299 344452 345609 346764 347915 349061 350210 351359 352513 353669 354822 355977 357130 358286 359444 360601 361750 362905 364065 365221 366376 367536 368694 369854 371012 372175 373336 374492 375648 376807 377969 379127 380290 381448 382608 383771 384933 386092 387252 388411 389568 390725 391881 393033 394185 395341 396498 397656 398810 399957 401099 402239 403382 404518 405656 406793 407922 409047 410170 411291 412401 413503 414602 415693 416776 417852 418925 419987 421042 422090 423133 424171 425203 426229 427258 428298 429345 430408 431499 432616 433769 434964 436204 437494 438822 440197 441613 443055 444531 446021 447526 449033 450545 452057 453555 455041 456510 457965 459410 460849 462279 463695 465103 466501 467889 469272 470646 472012 473371 474730 476085 477435 478786 480133 481475 482822 484170 485514 486853 488189 489527 490865 492202 493546 494886 496225 497565 498904 500243 501584 502921 504255 505593 506927 508259 509587 510920 512253 513585 514913 516238 517553 518867 520178 521485 522790 524097 525398 526692 527989 529280 530565 531849 533126 534399 535669 536941 538215 539485 540753 542026 543294 544558 545821 547082 548341 549604 550862 552121 553384 554643 555899 557156 558415 559675 560929 562182 563436 564679 565925 567175 568417 569653 570889 572129 573363 574588 575805 577018 578227 579437 580645 581843 583036 584227 585413 586590 587765 588927 590083 591239 592385 593526 594665 595796 596924 598046 ;
2023-05-23_144801;13;-33036;1.394716e-01;-1.788140e-03;1.685909e+00;1.394716e-01;-1.788140e-03;1.685909e+00;0.000000e+00;0.000000e+00;nan;286134 287312 288492 289677 290861 292043 293223 294397 295567 296735 297906 299073 300243 301413 302581 303745 304914 306078 307241 308399 309560 310723 311883 313040 314197 315350 316508 317665 318823 319977 321132 322284 323436 324591 325743 326897 328047 329196 330343 331492 332644 333796 334947 336098 337248 338398 339545 340696 341846 342995 344147 345299 346452 347600 348750 349901 351050 352206 353365 354517 355673 356830 357983 359139 360296 361446 362597 363755 364911 366067 367220 368372 369528 370690 371852 373009 374165 375320 376480 377634 378790 379951 381109 382270 383432 384592 385750 386909 388066 389220 390373 391523 392671 393825 394978 396135 397287 398436 399582 400720 401859 403001 404138 405274 406409 407536 408656 409779 410894 412001 413100 414192 415281 416360 417438 418508 419565 420618 421664 422705 423737 424764 425793 426820 427858 428905 429970 431064 432182 433338 434529 435765 437043 438361 439727 441137 442574 444043 445532 447036 448540 450053 451563 453064 454555 456031 457491 458936 460374 461807 463224 464633 466032 467419 468803 470174 471541 472902 474266 475620 476971 478321 479668 481011 482360 483708 485047 486379 487716 489052 490389 491725 493062 494396 495735 497083 498424 499759 501098 502433 503770 505107 506441 507773 509102 510438 511772 513104 514428 515747 517062 518375 519685 520990 522293 523601 524901 526197 527491 528784 530071 531355 532637 533912 535183 536456 537729 538996 540257 541521 542784 544047 545310 546564 547825 549084 550342 551596 552853 554110 555365 556621 557878 559135 560390 561646 562897 564140 565384 566627 567864 569098 570335 571570 572800 574025 575243 576457 577669 578880 580088 581290 582484 583675 584858 586037 587214 588383 589544 590702 591849 592991 594130 595262 596389 597513 ;
2023-05-23_144811;14;-32987;5.845638e-02;1.162291e-02;1.727047e+00;5.845638e-02;1.162291e-02;1.727047e+00;0.000000e+00;0.000000e+00;nan;285965 287147 288324 289507 290690 291874 293055 294227 295394 296565 297739 298908 300079 301251 302418 303584 304751 305918 307084 308248 309413 310579 311740 312900 314057 315211 316366 317524 318683 319839 320994 322144 323290 324441 325595 326745 327898 329049 330197 331346 332494 333644 334791 335935 337079 338220 339363 340509 341657 342806 343958 345111 346263 347411 348552 349696 350838 351982 353134 354283 355437 356589 357743 358898 360052 361202 362352 363508 364661 365814 366971 368125 369276 370435 371592 372748 373899 375053 376211 377362 378518 379675 380831 381988 383149 384310 385469 386628 387782 388932 390090 391240 392389 393536 394690 395845 397001 398158 399306 400446 401584 402725 403853 404981 406110 407236 408360 409483 410597 411705 412804 413898 414990 416074 417151 418223 419282 420334 421381 422427 423462 424495 425519 426545 427583 428632 429697 430785 431902 433048 434235 435473 436755 438074 439437 440839 442273 443735 445221 446718 448220 449729 451236 452738 454227 455697 457154 458600 460041 461473 462888 464298 465699 467089 468472 469845 471208 472566 473923 475273 476621 477970 479316 480660 482004 483347 484684 486018 487349 488688 490021 491353 492687 494018 495351 496688 498025 499364 500703 502038 503372 504710 506043 507373 508702 510030 511355 512682 514003 515324 516636 517951 519269 520578 521889 523198 524500 525795 527088 528375 529654 530932 532212 533488 534759 536032 537303 538568 539833 541098 542367 543634 544898 546155 547409 548669 549925 551182 552446 553704 554959 556211 557467 558725 559977 561228 562480 563725 564977 566227 567468 568705 569941 571179 572410 573637 574855 576071 577284 578502 579720 580921 582117 583308 584496 585682 586858 588023 589184 590343 591497 592647 593794 594929 596056 597177 ;
2023-05-23_144822;15;-32955;1.554798e-01;-5.960465e-04;1.544164e+00;1.554798e-01;-5.960465e-04;1.544164e+00;0.000000e+00;0.000000e+00;nan;285734 286910 288086 289267 290451 291634 292815 293991 295159 296331 297501 298669 299834 301002 302170 303340 304512 305680 306843 308004 309169 310332 311488 312647 313809 314965 316124 317282 318442 319601 320759 321912 323064 324217 325368 326520 327672 328820 329967 331114 332264 333416 334563 335713 336863 338008 339156 340304 341449 342594 343743 344897 346047 347197 348340 349481 350625 351771 352919 354065 355216 356368 357521 358673 359820 360964 362113 363266 364422 365575 366736 367892 369045 370198 371348 372498 373644 374790 375944 377097 378255 379414 380568 381722 382879 384032 385185 386336 387483 388630 389784 390936 392090 393240 394389 395542 396692 397838 398983 400121 401261 402400 403531 404661 405791 406914 408033 409149 410261 411366 412462 413556 414646 415728 416805 417875 418937 419987 421031 422067 423096 424124 425148 426179 427220 428273 429342 430435 431553 432701 433883 435110 436380 437692 439054 440457 441893 443357 444845 446346 447852 449370 450883 452386 453875 455350 456809 458260 459701 461137 462555 463966 465371 466755 468134 469504 470869 472229 473585 474934 476280 477621 478962 480305 481648 482992 484332 485668 487003 488339 489669 491001 492337 493666 494994 496328 497660 498993 500331 501660 502993 504324 505654 506977 508298 509623 510950 512280 513609 514936 516249 517557 518866 520168 521471 522778 524080 525380 526677 527966 529253 530537 531812 533081 534344 535614 536885 538148 539415 540681 541948 543211 544474 545733 546990 548243 549487 550731 551981 553234 554485 555740 556998 558257 559515 560771 562023 563264 564503 565744 566983 568224 569464 570709 571948 573182 574406 575622 576836 578048 579260 580462 581664 582867 584056 585241 586417 587584 588742 589899 591050 592194 593340 594478 595607 596738 ;
2023-05-23_144832;16;-32919;6.098810e-03;8.940698e-03;2.183593e-01;6.098810e-03;8.940698e-03;2.183593e-01;0.000000e+00;0.000000e+00;nan;285591 286766 287941 289117 290297 291477 292655 293827 294994 296163 297335 298500 299664 300831 301998 303162 304328 305492 306652 307809 308970 310130 311284 312439 313597 314748 315901 317054 318208 319363 320515 321664 322812 323963 325106 326251 327401 328547 329692 330840 331990 333140 334284 335428 336573 337716 338858 340006 341153 342295 343445 344597 345747 346891 348033 349177 350322 351469 352622 353771 354921 356074 357226 358381 359534 360683 361831 362984 364137 365288 366443 367595 368746 369902 371057 372211 373362 374512 375670 376825 377983 379144 380302 381460 382621 383781 384938 386093 387245 388396 389550 390702 391850 392999 394146 395299 396451 397601 398745 399878 401011 402148 403282 404411 405543 406669 407789 408904 410014 411118 412213 413305 414391 415470 416542 417607 418663 419713 420759 421799 422833 423860 424879 425900 426936 427980 429047 430137 431251 432395 433573 434793 436058 437365 438717 440110 441536 442996 444479 445973 447474 448984 450492 451991 453479 454950 456412 457859 459302 460735 462154 463562 464959 466346 467722 469093 470454 471810 473168 474520 475863 477207 478546 479883 481223 482565 483897 485222 486549 487880 489206 490530 491859 493186 494517 495852 497191 498528 499860 501190 502519 503853 505186 506515 507843 509170 510500 511830 513159 514481 515802 517121 518438 519743 521049 522354 523656 524959 526256 527554 528844 530130 531408 532685 533960 535234 536510 537779 539047 540316 541581 542845 544105 545363 546621 547883 549142 550397 551654 552905 554154 555404 556664 557926 559179 560430 561681 562925 564172 565417 566656 567892 569129 570366 571597 572826 574049 575268 576483 577695 578903 580099 581296 582485 583673 584860 586038 587207 588364 589519 590667 591807 592945 594078 595208 596336 ;
2023-05-23_144842;17;-32874;9.018299e-02;-2.086163e-03;1.493160e+00;9.018299e-02;-2.086163e-03;1.493160e+00;0.000000e+00;0.000000e+00;nan;285398 286572 287746 288925 290106 291287 292468 293639 294806 295973 297143 298308 299475 300645 301814 302982 304154 305322 306484 307643 308803 309965 311121 312279 313438 314596 315755 316916 318073 319226 320378 321528 322677 323832 324981 326125 327273 328423 329571 330720 331867 333016 334160 335303 336447 337590 338734 339880 341029 342175 343324 344477 345627 346776 347915 349053 350194 351339 352483 353626 354770 355921 357070 358219 359371 360516 361660 362813 363961 365112 366270 367425 368579 369733 370889 372042 373187 374337 375486 376636 377787 378937 380085 381235 382392 383548 384702 385856 387003 388152 389305 390455 391605 392754 393903 395048 396194 397334 398476 399611 400741 401872 402998 404123 405247 406368 407487 408604 409711 410810 411904 412993 414085 415167 416238 417305 418363 419412 420460 421497 422528 423557 424583 425609 426651 427696 428761 429850 430960 432101 433280 434503 435769 437075 438428 439821 441247 442703 444187 445683 447184 448692 450203 451701 453192 454668 456135 457591 459038 460481 461902 463307 464707 466094 467475 468847 470211 471568 472927 474278 475616 476959 478299 479636 480976 482315 483651 484986 486319 487656 488990 490324 491655 492978 494301 495630 496958 498286 499616 500943 502270 503603 504929 506253 507575 508900 510229 511559 512887 514208 515521 516835 518147 519454 520763 522076 523383 524682 525973 527263 528547 529828 531105 532375 533644 534913 536180 537445 538710 539978 541241 542505 543765 545022 546274 547527 548776 550027 551281 552530 553778 555029 556283 557535 558781 560029 561279 562525 563769 565017 566253 567495 568737 569978 571214 572443 573667 574880 576091 577302 578511 579716 580918 582118 583311 584500 585680 586848 588004 589164 590316 591461 592606 593742 594878 596016 ;
